raw,author,content,author_action,collaborate
"Thanachart Numnonda ได้แชร์โพสต์  · ==21 ชม.==================  · บ่ายนี้บรรยายและทำแบบฝึกหัดเรื่องของ TensorFlow 2.0 ให้กับคนที่สนใจอีก  3  ชั่วโมง (แต่คนลงทะเบียนเต็มแล้ว จะส่งวิดีโอการบรรยายให้ดูย้อนหลังในสัปดาห์หน้า) สอนครั้งที่แล้วหลายคน copy Source code ตามไม่ทัน งวดนี้เลย Push code ลงใน GitHub จะได้ไปได้เร็วขึ้น เลยขอแชร์ link Source codeSource code >> https://github.com/imcinstitute/ML-labsเอกสารประกอบการบรรยาย >> https://tinyurl.com/y5tynyavIMC Institute  · =================================================================================================================เมื่อวานนี้ เวลา 20:56 น.=  · Source code ในการบรรยาย  Free Online Course เรื่อง ""Introduction to Data Science Using Python"" บ่ายวันนี้สอนเรื่องของ TensorFlow https://github.com/imcinstitu... ดูเพิ่มเติม691 ความคิดเห็นแชร์ 49 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นWaleeporn Sayasitเล่น GIFGIPHY · แชร์ · 7 ชม.",Thanachart Numnonda,"บ่ายนี้บรรยายและทำแบบฝึกหัดเรื่องของ TensorFlow 2.0 ให้กับคนที่สนใจอีก  3  ชั่วโมง (แต่คนลงทะเบียนเต็มแล้ว จะส่งวิดีโอการบรรยายให้ดูย้อนหลังในสัปดาห์หน้า) สอนครั้งที่แล้วหลายคน copy Source code ตามไม่ทัน งวดนี้เลย Push code ลงใน GitHub จะได้ไปได้เร็วขึ้น เลยขอแชร์ link Source code
Source code >> https://github.com/imcinstitute/ML-labs
เอกสารประกอบการบรรยาย >> https://tinyurl.com/y5tynyav",Thanachart Numnonda ได้แชร์โพสต์,"69
1 ความคิดเห็น
แชร์ 49 ครั้ง"
Wachiravit Teerasarn  · ====================================เมื่อวานนี้ เวลา 06:24 น.==============================================================================  · สอบถามครับนอกจาก Sourcetree แล้ว มีตัวไหนน่าใช้อีกบ้างไหมครับ55ความคิดเห็น 79 รายการแชร์ 4 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 39 ความคิดเห็นNithikorn Saenpanyagithub desktop อีกเสียง · แชร์ · 13 ชม.Nattasan Wang-AphisitGitKraken ครับ เสียดายไม่ฟรีเหมือนก่อน ตอนนี้ใช้ source tree อยู่ · แชร์ · 11 ชม.,Wachiravit Teerasarn,"สอบถามครับ
นอกจาก Sourcetree แล้ว มีตัวไหนน่าใช้อีกบ้างไหมครับ",Wachiravit Teerasarn,"55
ความคิดเห็น 79 รายการ
แชร์ 4 ครั้ง"
ซากาตะ กินโทกิ  · =========================================20 มกราคม เวลา 04:50 น.=================================================  · คิดว่าปัญหา SMS OTP ของคนละครึ่งเกิดจากอะไรครับ 1. เกิดจาก SMS Providers2.  เครือข่ายโทรศัพท์เจ้านั้น ๆ 3. เป็น Condition ของ Web อยู่แล้ว เช่น Send ออกไปแล้ว ล้านครั้งให้ชะลอการส่งก่อนหรือเกิดจากปัจจัยอะไรครับ  ปล. ผมกด submit ส่ง OTP ไปตั้งแต่นาทีแรก แต่ก็ไม่ได้รับ SMS เลย งงว่า การ Handle Queue ของ SMS นั้นมันเป็นยังไง ถึงจะ คอขวดแต่มันไม่เรียงคิวเลยหร่อ296ความคิดเห็น 72 รายการแชร์ 31 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 37 ความคิดเห็นWisarut Yaemsubรอ response  จากปลายทางก็นานอยู่ · แชร์ · 1 วันKag Elecmakerมันโกหกทั้งเพ มันไม่มีจริง · แชร์ · 1 วัน,,"คิดว่าปัญหา SMS OTP ของคนละครึ่งเกิดจากอะไรครับ
1. เกิดจาก SMS Providers
2. เครือข่ายโทรศัพท์เจ้านั้น ๆ
3. เป็น Condition ของ Web อยู่แล้ว เช่น Send ออกไปแล้ว ล้านครั้งให้ชะลอการส่งก่อน

หรือเกิดจากปัจจัยอะไรครับ
ปล. ผมกด submit ส่ง OTP ไปตั้งแต่นาทีแรก แต่ก็ไม่ได้รับ SMS เลย งงว่า การ Handle Queue ของ SMS นั้นมันเป็นยังไง ถึงจะ คอขวดแต่มันไม่เรียงคิวเลยหร่อ",ซากาตะ กินโทกิ,"296
ความคิดเห็น 72 รายการ
แชร์ 31 ครั้ง"
"Numpol Toom Kongpakdee  · 21 ชม.====================  · ขอสอบถามหน่อยครับการจะทำให้โปรแกรม หรือ เว็บไซต์ มีความปลอดภัยจากการโดนเจาะ โดนแฮค มันมีปัจจัย หรือ องค์ประกอบ อะไรบ้างครับขอบคุณครับ21ความคิดเห็น 11 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 9 ความคิดเห็นThitipong Smrvntหัวหน้าและการควบคุมนโยบายครับ  ถ้าตั้งใจจริงทางก็จะค่อยๆเปิด แม้จะไม่มีความรู้เลยถ้าไม่ .. ทางก็จะปิด ทางป้องกันจะไม่มี แม้จะมีความรู้มากมาย... ดูเพิ่มเติม · แชร์ · 14 ชม. · แก้ไขแล้วNithikorn Saenpanyaถ้าโปรแกรมนี่ไม่ทราบครับ ถ้าเป็น เว็บนี่ปัญญาหลักคือ sql injection ครับ ช่องทางปกติก็พวก query แล้ว error sql หรือ url เหน id เด่นหลา ตามด้วยพวก upload file ตามด้วยพวก link api ผมจะไม่พูดถึงการแฮค arp network ภายในละกันลองลงมาก็พวก brute force,  xss s... ดูเพิ่มเติม1 · แชร์ · 13 ชม.",,"ขอสอบถามหน่อยครับ
การจะทำให้โปรแกรม หรือ เว็บไซต์ มีความปลอดภัยจากการโดนเจาะ โดนแฮค มันมีปัจจัย หรือ องค์ประกอบ อะไรบ้างครับ
ขอบคุณครับ",Numpol Toom Kongpakdee,"21
ความคิดเห็น 11 รายการ
แชร์ 2 ครั้ง"
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 57 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 19 นาที,,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 10 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 12 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 10 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
Nipa Chamyuang  · =2 ชม.=================  · มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง12ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นณัฐพงษ์ เชิดสุพรรณ์เค้าแก้แล้วครับ แก้จาก เบอร์ ที่ เข้ารหัส ตอนส่งไป เพิ่ม device id2 · แชร์ · 1 ชม.การตอบกลับ 2 รายการกันเนอร์ แคร็กเกอร์แก้ไม่หายครับ ล่าสุดมีโดนกันอีกแล้ว · แชร์ · 24 นาทีการตอบกลับ 1 รายการ,Nipa Chamyuang,มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง,Nipa Chamyuang,"12
ความคิดเห็น 5 รายการ"
"Abhichat Wankaew  · =2 ชม.=================  · ถามผู้รู้ flutter ครับเจอแบบนี้ไปยังไงต่อครับทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ2ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 2 ความคิดเห็นด.ช.ธนาธิป สีมูลคำของผมใช้อยู่ก็เป็นครับ แต่ build ได้ ก็ปล่อยมันแบบนั้นแหละ · แชร์ · 1 ชม.ดั๊บเบิ้ลคลิก คอมพิวเตอร์flutter channel devflutter upgradeflutter config --android-studio-dir=""C:\Program Files\Android\Android Studio""... ดูเพิ่มเติม · แชร์ · 25 นาที",,"ถามผู้รู้ flutter ครับ
เจอแบบนี้ไปยังไงต่อครับ
ทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ",Abhichat Wankaew,"2
ความคิดเห็น 5 รายการ"
วันมงคล พานิชกุล  · ========17 ชม.============  · สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี155ความคิดเห็น 112 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าKaran Sivaratถ้าเรื่องสมัครงานก็มีผลบ้างกับองค์กรใหญ่ ๆ ครับ แต่การเลือกที่เรียนสำหรับผมมีผลกับความรู้ ความสามารถของเราที่จะจบออกจากมหาวิทยาลัยครับ (เมื่อเก่งแล้วการหางานก็อาจจะตามมาเอง)- ที่ว่ามีผลเนี่ยไม่ได้มีกับมหาวิทยาลัยโดยตรง มหาวิทยาลัยให้แค่สิ่งอำนวยความส... ดูเพิ่มเติม1 · แชร์ · 37 นาที · แก้ไขแล้วThitipong Smrvntมีคนเคยบอกว่าแค่ ทำได้ กับทำไม่ได้ ...เรื่องอื่นๆทั้งหมดเป็นเรื่องรองๆลงมา... ดูเพิ่มเติม · แชร์ · 32 นาที · แก้ไขแล้ว,วันมงคล พานิชกุล,สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี,วันมงคล พานิชกุล,"155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง"
"Rawin Ngamloet ได้แชร์ลิงก์
44 นาที
 
 · 
ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101
YOUTUBE.COM
เรียน Docker 101 : EP.3 สร้าง Dockerfile กันเถอะ
วีดีโอสอนการใช้งาน Docker สำหรับผู้รักเรียนรู้ทุกท่านครับ โดยในตอนนี้จะเน้นถึงเรื่องของการสร้าง Dockerfile สำหรับ bu...
43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นอีก 1 รายการ
Chumrod Witsanu
แชร์ · 1 ชม.
Rawin Ngamloet
ขอบคุณครับ
หยุด GIF ชั่วคราว
GIPHY
แชร์ · 38 นาที",Rawin Ngamloet,"ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101",Rawin Ngamloet ได้แชร์ลิงก์,"43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง"
"Off Jaturapat ได้แชร์ลิงก์
44 นาที
 
 · 
หนังสือฟรีสายคอมอ่านกันฟรีๆ
PATANASONGSIVILAI.COM
แจกหนังสือฟรีสายคอมหลายเล่ม
ช่วงโควิด 19 หลายคนคงกำลังอยู่บ้าน workfrom home หรือกำ…
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",Off Jaturapat,หนังสือฟรีสายคอมอ่านกันฟรีๆ,Off Jaturapat ได้แชร์ลิงก์,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"กวิน สายอุบล
44 นาที
 
 · 
แอพเป๋าตังมีAPI มั้ยครับ?
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",กวิน สายอุบล,แอพเป๋าตังมีAPI มั้ยครับ?,กวิน สายอุบล,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"Arkom Thaicharoen ได้แชร์โพสต์  · ==2 ชม.================  · BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม781 ความคิดเห็นแชร์ 54 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKaitoon SooksonchaiBeau Krittaya Chato1 · แชร์ · 48 นาที",Arkom Thaicharoen,"BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม",Arkom Thaicharoen ได้แชร์โพสต์,"78
1 ความคิดเห็น
แชร์ 54 ครั้ง"
Samphan Raruenrom ได้แชร์โพสต์  · ======21 ชม.==============  · อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กันใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบายBlognone  · =================================================================================================เมื่อวานนี้ เวลา 19:30 น.=================  · เป็นธรรมเนียมทุกปีที่ LinkedIn เว็บไซต์หางาน จัดอันดับตำแหน่งงานที่มีความต้องการจากนายจ้างมากที่สุด ซึ่งปีนี้ตำแหน่งงานที่ได้รับความนิยม ยังหนีไม่พ้นสายงานไอที แ... ดูเพิ่มเติม809ความคิดเห็น 69 รายการแชร์ 260 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 32 ความคิดเห็นTum ChangudomIT คือทุกอย่าง ยันดักหนู1 · แชร์ · 1 ชม.Nickna Khuntongนี่มัน Lineup บริษัท Online Marketing ชัดๆ รู้เลยว่านี่ยุคขายของออนไลน์ 55 · แชร์ · 50 นาที,Samphan Raruenrom,"อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กัน
ใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบาย",Samphan Raruenrom ได้แชร์โพสต์,"809
ความคิดเห็น 69 รายการ
แชร์ 260 ครั้ง"
ลุงวิศวกร สอนคำนวณ ได้แชร์โพสต์  · ===============2 ชม.===  · เจอกันกับ MicroPython วันอาทิตย์นี้ ซ้อมวิชาก่อนไปเขียนลง Raspberry Pi Picoลุงวิศวกร สอนคำนวณ  · =====16 ชม.===============  · เขียน MicroPython ลงบอร์ด ESP8266 -ESP07 ขนาดเท่าเหรียญบาท ราคาไม่ถึง 100 บาท สามารถส่งข้อมูล (อุณหภูมิ+ความชื้นจาก DHT22 ยอดนิยม) เข้า Server ได้เลยด้วย socket... ดูเพิ่มเติม29ความคิดเห็น 2 รายการแชร์ 5 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKrittinaphat Phrommajeen5555... excellent work · แชร์ · 1 ชม.Titatum Nakunรอเรียนรู้ครับ · แชร์ · 51 นาที,ลุงวิศวกร สอนคำนวณ,เจอกันกับ MicroPython วันอาทิตย์นี้ ซ้อมวิชาก่อนไปเขียนลง Raspberry Pi Pico,ลุงวิศวกร สอนคำนวณ ได้แชร์โพสต์,"29
ความคิดเห็น 2 รายการ
แชร์ 5 ครั้ง"
Prp Peerapon  · =====2 ชม.=============  · รีวิวคณะวิทยาการคอมพิวเตอร์ประยุกต์หน่อยครับว่าเรียนต่างจาก comsci มากมั้ย10ความคิดเห็น 2 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKo Chanเข้าไปดูหลักสูตร+รายวิชา ครับ · แชร์ · 2 ชม.Thanusin Dhamalongkrotจริง ๆ อันเดียวกันครับ แค่เพิ่มรายวิชา ที่เกี่ยวข้องกับปัจจุบันเข้าไป เช่นการเขียนแอพแอนดรอย · แชร์ · 1 ชม.,,รีวิวคณะวิทยาการคอมพิวเตอร์ประยุกต์หน่อยครับว่าเรียนต่างจาก comsci มากมั้ย,Prp Peerapon,"10
ความคิดเห็น 2 รายการ"
Sorawat Thinawarat  · ========21 ชม.============  · คือปกติผมเขียน arduino รับค่าจาก sensor แล้วส่งค่าไปแสดงผลบนหน้าจอ ของ Application blynk ครับผมแต่ตอนนี้ผมมี server cloud เป็นของตัวเองแล้ว ผมอยากที่จะนำข้อมูลไปเก็บที่ cloud ของตัวเอง ผมต้องศึกษาอะไรหรอครับ ขอเป็น keyword หรือวิธีหน่อยครับผม ขอบคุณครับ3ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นอีก 1 รายการTeerapong Sittigultornผมใช้ node-red ครับ · แชร์ · 16 ชม.Suriya SuksutthiArduino เอง ก็มีการส่งค่า ไปหา web และ mqtt มี lib แต่ต้องใช้ esp8266 หรือ esp32 ซึ่งใช้ Wi-Fi  ในการเข้าถึง จะส่ง line มาให้ใครก็ได้... ดูเพิ่มเติม1 · แชร์ · 13 ชม.,,"คือปกติผมเขียน arduino รับค่าจาก sensor แล้วส่งค่าไปแสดงผลบนหน้าจอ ของ Application blynk ครับผม
แต่ตอนนี้ผมมี server cloud เป็นของตัวเองแล้ว ผมอยากที่จะนำข้อมูลไปเก็บที่ cloud ของตัวเอง ผมต้องศึกษาอะไรหรอครับ ขอเป็น keyword หรือวิธีหน่อยครับผม ขอบคุณครับ",Sorawat Thinawarat,"3
ความคิดเห็น 5 รายการ"
Hari Ethan  · ========================================================================20 มกราคม เวลา 21:48 น.==================  · ขอสอบถามหน่อยครับ​ วิศวะคอม​ มข.ดีไหมครับ​เอาไว้เป็นแนวทางในการศึกษาต่อ17ความคิดเห็น 4 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นอีก 1 รายการChaiyadej Boonsaiดี · แชร์ · 1 วันWorakan Sasipiyanontดีค่ะ ดีที่จบมาแล้วยังไม่ตาย หยอกๆนะ อาจารย์ภาคนี้จะค่อยข้างอินดี้กันหน่อยๆ1 · แชร์ · 20 ชม.การตอบกลับ 1 รายการ,,"ขอสอบถามหน่อยครับ​ วิศวะคอม​ มข.ดีไหมครับ
​เอาไว้เป็นแนวทางในการศึกษาต่อ",Hari Ethan,"17
ความคิดเห็น 4 รายการ"
วันมงคล พานิชกุล  · ========================================================================19 มกราคม เวลา 08:44 น.==================  · อาชีพโปรแกรมเมอร์ส่วนใหญ่ทำงานที่บ้านหรือออฟฟิศหรอครับ145ความคิดเห็น 53 รายการแชร์ 3 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 29 ความคิดเห็นกฤษภูสิษฐ์ ชูสุวลักษณ์ร้านกาแฟครับ · แชร์ · 2 วันKitthanate Apiwongbhardsiriทำที่ไม่ใช้ที่บ้าน ครับ ร้านกาแฟ ที่ทำงาน · แชร์ · 1 วัน,วันมงคล พานิชกุล,อาชีพโปรแกรมเมอร์ส่วนใหญ่ทำงานที่บ้านหรือออฟฟิศหรอครับ,วันมงคล พานิชกุล,"145
ความคิดเห็น 53 รายการ
แชร์ 3 ครั้ง"
Lun Devien  · ===========================================================================20 มกราคม เวลา 23:09 น.===============  · สวัสดีครับผมกำลังหัดเขียน C# ใครพอจะมีแบบฝึกหัดให้ลองทำมั้งครับ พอดีซื้อหนังสือมาอ่านแล้วทำได้แค่เขียนตามหนังสือครับ ขอบคุณครับสวัสดีครับผมกำลังหัดเขียน C# ใครพอจะมีแบบฝึกหัดให้ลองทำมั้งครับ พอดีซื้อหนังสือมาอ่านแล้วทำได้แค่เขียนตามหนังสือครับ ขอบคุณครับ13ความคิดเห็น 7 รายการแชร์ 5 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 4 ความคิดเห็นLun Devienขอบคุณทุกคนครับ · แชร์ · 1 วันTanachart Changcharoenลองเล่น https://www.codingame.com/ ดูครับCODINGAME.COMCoding Games and Programming Challenges to Code BetterCoding Games and Programming Challenges to Code Better · แชร์ · 15 ชม.,Lun Devien,สวัสดีครับผมกำลังหัดเขียน C# ใครพอจะมีแบบฝึกหัดให้ลองทำมั้งครับ พอดีซื้อหนังสือมาอ่านแล้วทำได้แค่เขียนตามหนังสือครับ ขอบคุณครับสวัสดีครับผมกำลังหัดเขียน C# ใครพอจะมีแบบฝึกหัดให้ลองทำมั้งครับ พอดีซื้อหนังสือมาอ่านแล้วทำได้แค่เขียนตามหนังสือครับ ขอบคุณครับ,Lun Devien,"13
ความคิดเห็น 7 รายการ
แชร์ 5 ครั้ง"
Panupong Banyawattanapirom  · ===========================================================================20 มกราคม เวลา 04:50 น.===============  · ผมจะต่อมหาลัย ไม่เคยเรียนเขียนโค้ดเลย เเต่ผมอยากเรียนคณะคอมที่เกี่ยวกับเขียนโค้ดที่มหาลัย เพื่อนบอกต้องเก่งคณิต คณิตต้องเกรด4 ไม่มีพื้นฐานลงเรียนไม่ได้จริงหรอครับ85ความคิดเห็น 95 รายการแชร์ 9 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าAria Undineขึ้นอยู่กับหลักสูตรที่จะลงด้วยอ่ะนะ  บางหลักสูตรไม่เน้นวิชาสายวิทย์ขนาดนั้น ถ้าเลือกดีๆจะเลี่ยงวิชาที่ไม่อยากเรียนไปได้​เหมือนกัน​  ส่วนตัวคิดว่​า​คณิตศาสตร์​อยู่คู่กับการเขียนโปรแกรมนะ  คือตอนเรียนจบมาเขียนโปรแกรมจริงๆ  ถ้าทำพวก api CRUD ธรรมดาหรือทำF... ดูเพิ่มเติม · แชร์ · 15 ชม.แมน ตระหง่านไพบูลย์เก่งคณิต วัดอย่างไร? · แชร์ · 15 ชม.,,ผมจะต่อมหาลัย ไม่เคยเรียนเขียนโค้ดเลย เเต่ผมอยากเรียนคณะคอมที่เกี่ยวกับเขียนโค้ดที่มหาลัย เพื่อนบอกต้องเก่งคณิต คณิตต้องเกรด4 ไม่มีพื้นฐานลงเรียนไม่ได้จริงหรอครับ,Panupong Banyawattanapirom,"85
ความคิดเห็น 95 รายการ
แชร์ 9 ครั้ง"
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 58 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 20 นาที,,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 11 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 13 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 11 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
